,Answer,Type,,Size,Questions,Flags
"Though some judges have found in the Third Amendment to the US Constitution a (i) _________ for a right to privacy, it was drafted primarily to appease opponents of the Constitution, and was particularly a (ii) _________to those antifederalists who sought to prevent the new state from maintaining a standing army. Since Article 1,section 8 of the Constitution explicitly grants to Congress the power to raise and maintain an army, the Third Amendment was largely (ii) _________ before it was written.
Blank i
Blank ii
Blank iii

A. detriment              D. boon           G. daft
B. basis                  E. sop            H. gauche
C. counterargument        F. bolster        I. moot","B,E,I",Three Blank,,,,9
"When it comes to an organism’s internal environment, even small _____1_____ can be lethal but - by virtue of having the capacity to maintain such _____2_____ internal horizons - life ____3_____ through wide variations in the external environment.

A. deviations         D. critical            G. preserves
B. perversions        E. narrow              H. stumbles
C. changes            F. intransigent        I. perseveres","A,E,I",Three Blank,,,,9
"But they pay little attention to the opposite and more treacherous failing: false certainty, refusing to confess their mistakes and implicitly claiming (i) ______ , thereby embarrassing the nation and undermining the Constitution, which established various mechanisms of self-correction on the premise that even the wisest men are sometimes wrong and need, precisely when they find it most (ii) ______ , the benefit of (iii) ______ process.

A. infallibility        D. discomfiting        G. an adaptable
B. immunity             E. expedient           H. a remedial
C. impartiality         F. imminent            I. an injudicious","A,D,H",Three Blank,,,,9
"When a new scientific model emerges, research studies (i)_____ that paradigm tend to dominate in the scientific literature: the process of selecting articles for publication is tilted towards positive results. But once the paradigm (ii)_____, the academic incentives shift in the opposite direction: research results are more considered worthy publication when they (iii)_____ what has become the established view.

A. tweaking             D. is initially articulated        G. bolster
B. affirming            E. has become entrenched           H. circumvent
C. controverting        F. is about to be attacked         I. undermine","B,E,I",Three Blank,,,,9
"At first, the collector was (i) ________ of the woman’s claims that the gold bar was sunken treasure. After he (ii) ________ the bar, though, he found that coral had grown on the back of it, indicating that the bar had been underwater for years. This discovery (iii) ________ the woman’s claim.

A. dubious          D. briefed            G. nullified
B. convinced        E. assayed            H. substantiated
C. enamored         F. scrutinized        I. belied","A,F,H",Three Blank,,,,9
"Stress-induced amnesia is a rare and (i)____ phenomenon; it strikes the patient apparently without warning and the memory loss can be as (i)____ as that induced by (iii)____ trauma.

A. devastating        D. generic         G. unexpected
B. venial             E. limited         H. mental
C. pervasive          F. complete        I. physical","A,F,I",Three Blank,,,,9
"What is currently (i) ______ civil engineers is not so much a predicted increase in annual precipitation as the likelihood that many storms will come in (ii) ______, thereby making flooding in lower lying riparian regions (iii) ______.

A. worrying              D. more predictable patterns        G. far more likely
B. comforting            E. tighter succession               H. somewhat infrequent
C. unimportant to        F. greater isolation                I. all but impossible","A,E,G",Three Blank,,,,9
"When we read with our eyes, we hear the words in the theater of our auditory inwardness. The voice we conjure up is our own—it is the sound-print of the self. Bringing this voice to life via the book is one of the (i)___________ aspects of the reading magic, but hearing a book in the voice of another amounts to a silencing of that self—it is an act of vocal tyranny. The listener is powerless against the taped voice, not at all in the position of my five-year-old daughter, who (ii)______________ me continually, “Don’t read it like that, Dad.” With the audio book, everything—pace, timbre, inflection—is (iii)_____________ for the captive listener.

A. subtler                D. motivates          G. facetious
B. more discordant        E. admonishes         H. implausible
C. more melancholy        F. felicitates        I. determined","A,E,I",Three Blank,,,,9
"It is part of human nature to resist change and (i)  __________ new ideas. This fact is evidenced in many teachers' (ii)  __________ adherence to archaic methodologies, which makes educational reform difficult to enact. Until some (iii) _________  teachers and administrators begin to welcome new classroom techniques, the attempts of the current administration at modifying the system will be ineffective.

A. eschew        D. inept           G. sagacious
B. aver          E. partisan        H. superfluous
C. covet         F. dogged          I. obstinate","A,F,I",Three Blank,,,,9
"Lower taxes would have many (i) ________  effects on the nation as a whole. In addition to encouraging businesspeople to be more optimistic and (ii) _______ in their investments, tax cuts would encourage the mass hiring of employees, which is not (iii) _______given the current payroll tax rate.

A. execrable            D. bullish         G. feasible
B. salutary             E. bearish         H. malleable
C. indeterminate        F. birdlike        I. atypical","B,D,G",Three Blank,,,,9
